1,2,3,4,5,6,7,8,9,10
561,105,7195,219,1325,4657,260,380,4963,217
42,1198,380,1096,219,3918,772,105,3458,606
772,8173,686,6249,335,523,14,4438,5084,9507
3951,686,1198,6249,1096,2578,1904,664,3458,3952
2711,380,924,260,60,1325,4962,189,539,5239
2664,4963,3458,539,1325,709,4657,1530,217,140
380,2711,877,6249,7519,1198,3478,139,1675,3223
1513,3951,140,5084,2711,9507,3940,217,1325,60
2776,6499,4610,1198,3951,75,2758,52,5084,4108
5819,4610,1198,2414,1215,1675,1700,2758,11319,1467
7580,772,7758,918,3458,380,3357,1198,75,561
60,1325,9507,380,139,186,8533,1107,1699,586
380,606,709,1198,2711,2578,219,3223,3458,8773
42,1851,21,1198,87,3124,709,1096,1264,7870
2711,380,1198,42,709,184,5748,219,349,8533
21,5844,8773,739,2969,380,1325,3223,60,4916
380,21,1513,42,1904,3951,240,4915,561,2079
1198,8773,588,2711,3478,3458,7519,3020,1516,686
4610,3458,1198,380,6745,3166,2711,709,75,3057
606,1389,4172,1198,1139,2091,3245,5420,1754,1117
388,151,775,3686,3166,12494,5109,105,1010,2711
1325,380,140,2776,1198,7519,3458,6102,2434,3124
2776,380,2711,606,1519,3951,3458,2578,1829,3057
2776,67,1096,3458,8773,219,7758,9507,1801,6767
772,1264,2711,9449,6102,3124,2969,6249,3197,709
6249,4579,4569,2428,1139,21,854,535,4390,60
3454,8773,4360,539,519,2434,5858,3918,349,1389
219,105,9449,9507,260,3458,2776,42,1834,974
4962,1096,1622,140,1519,1246,5840,42,21,4334
458,1325,5864,52,3799,4255,139,2607,14,78
2711,380,3918,1198,8773,6249,3223,45,9449,3124
1793,3357,13818,5748,1756,1829,2711,692,4657,105
1198,2711,380,139,3686,2091,1699,1325,2415,9449
184,6221,3378,8773,5864,3240,2711,3918,3245,1516
1198,2711,3441,772,380,1325,709,1483,3940,7519
606,1940,186,3166,539,5239,1198,105,380,2079
6249,1519,1198,3940,2089,2952,1904,1063,140,8533
1518,794,802,9507,10537,798,13550,2522,9497,16293
380,2711,349,3458,8027,1198,3951,612,3166,6102
3223,60,8173,1198,2415,1325,6102,5844,9449,3454
3166,2776,1198,6249,380,4916,3124,60,1096,1325
2758,3940,380,105,388,52,1096,3306,697,11319
3458,1096,3197,6044,4331,380,184,3124,2776,3918
1325,2711,380,9449,2776,140,9507,139,14,586
2711,2578,139,3458,217,1096,60,922,4963,709
1829,4916,6249,2776,3458,772,380,3951,21,219
4610,586,9449,772,2969,189,3918,3197,2952,21
5858,2952,748,606,3238,518,2451,4867,3057,527
606,1096,2711,3940,3441,380,105,1325,3124,186
12371,4948,2947,1490,3449,3952,5858,3330,6006,1781
2776,3165,5648,272,1829,60,139,2711,739,601
2776,3743,772,1325,139,6249,1699,739,1117,7278
60,1467,684,709,3951,3691,139,2711,3223,2442
3782,219,380,3458,1904,240,8414,1325,1198,21
3918,2711,3124,380,3458,42,1325,219,1389,606
3918,1325,4170,140,3989,219,3378,539,3200,12624
3478,5169,3691,2711,733,539,994,8773,1389,606
2776,1829,6044,709,140,3918,2711,1096,3124,217
1829,140,709,1096,4963,5864,1705,2776,380,3951
8173,2776,772,105,1096,854,684,140,2247,219
1096,4963,140,3458,3124,1002,60,561,75,6745
60,1325,189,12494,2776,2969,2247,606,1904,2591
2711,380,2776,606,1096,219,1389,75,3951,6102
686,349,9507,9449,2776,3357,2428,1264,7758,42
5239,372,8533,1513,1675,1483,304,739,5648,7278
3223,3743,1389,2711,2102,9449,6102,7278,606,739
606,2776,380,3223,5239,186,1829,2006,1705,2711
380,690,140,3918,748,9507,21,709,2415,3378
4360,3458,4948,3357,1198,772,567,4580,3989,5819
3223,9449,3441,772,3940,739,1325,5844,4867,1117
2079,6249,914,2415,1389,2711,1176,4186,709,335
523,4601,4571,1858,2711,5109,6249,709,18803,45
1513,5748,1287,7539,5525,8730,2079,9507,2102,380
3951,2607,739,601,105,5844,380,1829,1513,2776
1829,2089,2415,7413,105,2079,8840,2428,5373,8773
3057,2758,3124,630,2578,1270,2607,2776,42,1063
6249,380,335,1675,8773,2711,739,1389,3441,1829
3458,380,1264,606,304,2776,1198,42,219,1325
380,139,87,2428,105,3166,2711,4783,1325,219
380,140,2711,2079,1325,3454,3478,6102,1198,3918
3166,606,380,3200,3197,9449,304,9507,3454,140
1483,380,772,1325,4108,60,482,7519,3124,1198
380,42,3768,2442,709,75,5864,5844,139,1325
772,1325,2428,14,9449,139,4948,380,2007,75
380,2428,6102,1198,1483,139,1325,3458,42,4390
7413,5844,8027,1833,1445,877,7129,2428,6102,84
606,3223,2711,335,9449,4438,748,5858,21,3951
105,380,1096,42,219,2079,75,709,606,4916
2006,3110,748,1940,304,3951,7278,709,5546,684
75,5250,2711,2787,7870,6821,2952,10767,9251,45
9507,260,4669,709,3223,12494,2102,1467,42,3952
1198,606,380,1325,9507,140,2776,219,42,709
380,5239,304,217,52,372,167,3124,1513,1483
2711,518,3020,4645,304,3478,78,6102,380,3458
380,5648,3458,6102,8027,1096,2776,1198,3124,2079
140,1264,3197,772,540,4645,9449,1096,2711,854
3458,3918,380,2711,1198,219,606,2776,1096,709
586,380,3952,105,772,3951,606,84,2428,8878
4645,2607,709,6249,4433,4610,3940,5074,40,686
380,335,2711,3478,1325,6102,3223,2079,772,4916
60,535,11028,3951,395,3514,772,3441,1325,304
6249,588,8027,7353,11385,139,12220,1325,601,1622
219,140,6745,1198,1096,2079,4916,1519,606,6249
2776,8840,2711,380,1287,3458,8533,3412,5239,4706
1519,2079,1513,12624,588,219,8773,1325,1445,709
1325,1699,75,1198,2711,2079,380,6249,775,335
380,1513,586,3782,60,4610,5844,4706,709,2415
13548,4948,5992,1264,3197,3685,9079,8846,2415,3933
