1,2,3,4,5,6,7,8,9,10
140,854,42,1063,349,3441,2711,3952,2776,3197
5864,3689,6187,105,1278,12220,854,1519,458,75
1198,2776,380,4867,5844,139,3197,5739,75,772
3124,1198,2776,3951,606,1063,2758,3166,2007,2711
9449,3940,6249,75,1325,2415,1063,2758,1516,3057
2711,105,539,2758,606,380,4963,2079,1940,3918
772,8173,3057,686,139,9449,5820,1325,7726,3441
772,60,186,6102,606,2776,105,272,630,335
380,42,1198,1325,219,2776,105,3918,709,1096
606,105,2776,3918,1325,2079,775,42,8773,1198
606,5239,2006,539,105,380,40,2079,240,45
42,380,1198,45,3951,140,5084,304,1063,2711
606,2711,1096,105,380,4962,4657,11028,2969,2089
380,1198,139,3478,219,2102,6102,14,75,9449
380,1198,219,42,709,105,1325,139,2711,1264
2451,739,3223,1700,75,5864,4610,3951,8773,1198
380,42,1198,219,1325,3918,946,12220,3357,78
380,5864,7729,42,924,167,219,139,2591,4437
219,42,105,2079,380,1325,45,2711,2758,184
3197,7195,105,5858,4407,2711,3166,140,380,260
14453,1801,3782,5018,3454,7282,572,1139,8432,7528
380,1198,42,219,3918,2711,140,1325,4916,1096
586,45,380,1325,1264,1513,7730,4610,4867,2969
380,42,105,140,3951,1096,2711,3124,1198,2079
380,5844,2711,1198,606,3197,219,21,3378,6102
380,219,2776,140,3458,1198,7519,3951,349,42
2758,9716,709,87,1198,2711,9507,3378,4784,4783
14,186,240,380,1552,684,304,3357,2711,45
2711,692,3559,6044,775,139,2758,372,3124,918
380,772,606,6102,75,5844,1264,2711,1198,1096
380,5864,184,2776,75,3918,140,3166,3458,1198
380,2711,60,627,186,45,3385,1315,1198,2578
772,184,380,87,3951,924,105,2102,78,42
105,1325,1096,3124,2711,380,75,87,349,3940
380,60,539,4670,260,709,219,21,4963,3223
1325,3918,709,380,6249,2079,1198,2711,260,2776
14,42,219,4610,3782,380,1519,105,2911,1264
1198,380,105,2758,2711,1829,606,45,1264,5844
380,1325,139,105,1198,21,42,52,60,2102
